id,name,names,external_ids,website,wikipedia
43,University of Strasbourg,"{""ru"":""Страсбургский университет"",""es"":""Universidad de Estrasburgo"",""zh"":""斯特拉斯堡大学"",""ar"":""جامعة ستراسبورغ"",""fr"":""Université de Strasbourg"",""de"":""Universität Straßburg"",""ja"":""ストラスブール大学"",""ko"":""스트라스부르대학"",""pt"":""Universidade de Estrasburgo"",""ca"":""Universitat d'Estrasburg""}","{""ISNI"":""0000 0001 2157 9291"",""FundRef"":""501100003998"",""OrgRef"":""722824"",""Wikidata"":""Q157575""}",http://www.unistra.fr,http://en.wikipedia.org/wiki/University_of_Strasbourg
44,University of Leipzig,"{""ru"":""Лейпцигский университет"",""es"":""Universidad de Leipzig"",""zh"":""莱比锡大学"",""ar"":""جامعة ليبزق"",""fr"":""Université de Leipzig"",""de"":""Universität Leipzig"",""ja"":""ライプチヒ大学"",""ko"":""라이프치히대학교"",""pt"":""Universidade de Leipzig""}","{""ISNI"":""0000 0001 2230 9752"",""OrgRef"":""340454"",""Wikidata"":""Q154804""}",http://www.zv.uni-leipzig.de,http://en.wikipedia.org/wiki/Leipzig_University
45,University of Montreal,"{""ru"":""Монреальский университет"",""es"":""Universidad de Montreal"",""zh"":""蒙特利尔大学"",""ar"":""جامعة مونتريال"",""fr"":""Université de Montréal"",""de"":""Universität Montreal"",""ja"":""モントリオール大学"",""ko"":""몬트리올대학교"",""pt"":""Universidade de Montreal""}","{""ISNI"":""0000 0001 2292 3357"",""FundRef"":""501100005241"",""OrgRef"":""7955348"",""Wikidata"":""Q392189""}",http://www.umontreal.ca,http://en.wikipedia.org/wiki/University_of_Montreal
46,Voronezh State University of Engineering Technologies,"{""ru"":""Уважаемые абитуриенты! Представляем новый проект""}","{""ISNI"":""0000 0004 4658 6764""}",http://www.vsuet.ru,http://ru.wikipedia.org/wiki/Воронежский_государственный_университет_инженерных_технологий
47,University of Melbourne,"{""ru"":""Мельбурнский университет"",""es"":""Universidad de Melbourne"",""zh"":""墨尔本大学"",""ar"":""جامعة ملبورن"",""fr"":""L’Université de Melbourne"",""de"":""Universität Melbourne"",""ja"":""メルボルン大学"",""ko"":""멜버른대학교"",""pt"":""Universidade de Melbourne""}","{""ISNI"":""0000 0001 2179 088X"",""FundRef"":""100008758    "",""OrgRef"":""6954088"",""Wikidata"":""Q319078""}",http://www.unimelb.edu.au,http://en.wikipedia.org/wiki/University_of_Melbourne
48,University of St Andrews,"{""ru"":""Сент-Эндрюсский университет"",""es"":""Universidad de St. Andrews"",""zh"":""圣安德鲁斯大学"",""ar"":""جامعة سانت اندروز"",""fr"":""Université de St Andrews"",""de"":""Universität St. Andrews"",""ja"":""セント・アンドリューズ大学"",""ko"":""세인트앤드루스대학교"",""pt"":""Universidade de St Andrews"",""cy"":""Prifysgol St Andrews""}","{""ISNI"":""0000 0001 0721 1626"",""FundRef"":""501100000636"",""HESA"":""0173"",""UCAS"":""S36"",""UKPRN"":""10007803"",""OrgRef"":""1900629"",""Wikidata"":""Q216273""}",http://www.st-andrews.ac.uk,http://en.wikipedia.org/wiki/University_of_St_Andrews
49,University of Waikato,,"{""ISNI"":""0000 0004 0408 3579"",""OrgRef"":""239210"",""Wikidata"":""Q606140""}",http://www.waikato.ac.nz,http://en.wikipedia.org/wiki/University_of_Waikato
50,Voronezh State Forest Technical Academy,,,http://www.vglta.vrn.ru,http://ru.wikipedia.org/wiki/Воронежская_государственная_лесотехническая_академия
51,Voronezh State Medical Academy,"{""ru"":""Воронежский государственный медицинский университет имени Н.Н. Бурденко""}","{""ISNI"":""0000 0004 0620 3837""}",http://www.vsmaburdenko.ru,http://en.wikipedia.org/wiki/Voronezh_State_Medical_Academy
52,University of Oxford,"{""ru"":""Оксфордский университет"",""es"":""Universidad de Oxford"",""zh"":""牛津大学"",""ar"":""جامعة أكسفورد"",""fr"":""Université système de réseau d'information d'Oxford"",""de"":""Oxford Universität"",""ja"":""オックスフォード大学"",""ko"":""옥스퍼드대학교"",""pt"":""Universidade de Oxford"",""cy"":""Prifysgol Rhydychen"",""en"":""University of Oxford""}","{""ISNI"":""0000 0004 1936 8948"",""FundRef"":""501100000649    "",""HESA"":""0156"",""UCAS"":""O33"",""UKPRN"":""10007774"",""OrgRef"":""128386"",""Wikidata"":""Q34433""}",http://www.ox.ac.uk,http://en.wikipedia.org/wiki/University_of_Oxford
